"metric_name","metric_column","metric_label"
"wait_sess_cls","dbtime_waitclass_pct","Waits by Wait Class"
"ha_flashrecovery","reclaimable_area","Fast Recovery"
"audit_failed_logins_historical","failed_login_count","Failed Logins (Historical)"
"scn_growth_statistics","scn_health","SCN Growth Statistics"
"scn_instance_statistics","scn_intrinsic_growth_rate","SCN Instance Statistics"
"instance_throughput","redosize_ps","Throughput"
"instance_throughput","logons_pt","Throughput"
"instance_throughput","hardparses_pt","Throughput"
"instance_throughput","opncurs_ps","Throughput"
"instance_throughput","opncurs_pt","Throughput"
"instance_throughput","indxscansfull_pt","Throughput"
"instance_throughput","enqwaits_ps","Throughput"
"instance_throughput","consistentreadchanges_pt","Throughput"
"instance_throughput","dbtime_pt","Throughput"
"wait_bottlenecks","user_wait_time_pct","Wait Bottlenecks"
"wait_bottlenecks","other_wait_cnt","Wait Bottlenecks"
"wait_bottlenecks","host_cpu_usage_pct","Wait Bottlenecks"
"Database_Resource_Usage","user_limit","Database Limits"
"instance_throughput","bgcheckpoints_ps","Throughput"
"instance_throughput","consistentreadgets_pt","Throughput"
"instance_throughput","executions_pt","Throughput"
"instance_efficiency","cpuusage_ps","Efficiency"
